Modelo	Capacidad	Color	Calidad	Bateria	Precio final	Garantia	Marca
13 (PREVENTA)	128GB	COLORES MIX	A/A+	100%	330	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
13 PRO	128GB	GRAPHITE	A/B	100%	430	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
13 PRO	128GB	GRAPHITE, BLUE, GREEN	A/A+	100%	450	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
13 PRO	256GB	BLUE	A/A+	100%	470	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
13 PRO MAX	128GB	BLUE, GRAPHITE	A/A+	100%	490	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
14	128GB	RED	A/A+	100%	375	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
14 PRO	128GB	SILVER, PURPLE	A/A+	100%	480	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
14 PRO MAX	128GB	PURPLE, GOLD	A/A+	100%	540	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
14 PRO MAX	256GB	BLACK, PURPLE	A/A+	100%	580	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
15	128GB	PINK, BLACK	A/A+	100%	490	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
15 (PREVENTA)	128GB	COLORES MIX	A/A+	100%	465	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
15 PRO	128GB	BLUE	A/A+	100%	570	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
15 PRO MAX	256GB	BLACK	A/A+	100%	690	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
16 PRO (PREVENTA)	128GB	COLORES MIX	A/A+	90% o mas	740	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
16 PRO MAX	256GB	BLACK	A/A+	95% o mas	900	1 MES, SE EXTIENDE POR 3 MESES ADQUIRIENDO EL CARGADOR ORIGINAL	Apple
